0.066,-0.136,0.963,0.004,-49.692,-57.525,13.25,55.85,22.375,72.275,0.089,265.2,9.099,1,4,-0.44,1
0.062,-0.136,0.967,0.676,17.516,63.688,13.25,55.85,22.375,72.275,0.11,322.4,10.857,1,4,0.563,1
0.062,-0.132,0.963,0.002,-49.78,-57.525,13.25,55.85,22.375,72.275,0.081,234,8.044,1,4,-0.422,1
0.062,-0.132,0.975,0.003,-49.736,-57.525,13.25,55.85,22.375,72.275,0.079,236.6,8.044,1,4,-0.44,1
0.066,-0.136,0.963,0.002,-49.78,-57.446,13.25,55.85,22.375,72.275,0.076,227.5,7.824,1,4,-0.404,1
0.066,-0.136,0.963,0.002,-49.78,-57.446,13.25,55.85,22.375,72.275,0.076,227.5,7.824,1,4,-0.404,1
0.062,-0.132,0.963,0.003,-49.692,-57.367,13.25,55.85,22.375,72.275,0.067,195,6.593,1,4,-0.404,1
0.062,-0.132,0.963,0.675,17.56,63.53,13.25,55.85,22.375,72.275,0.082,241.8,8.308,1,4,0.545,1
0.066,-0.136,0.963,0.665,16.462,61.473,13.25,55.85,22.375,72.275,0.083,247,8.308,1,4,0.545,1
0.066,-0.136,0.967,0.675,17.56,63.609,13.25,55.85,22.375,72.275,0.089,262.6,9.055,1,4,0.527,1
0.062,-0.132,0.967,0.674,17.473,63.451,13.25,55.85,22.375,72.275,0.093,271.7,9.275,1,4,0.527,1
0.062,-0.132,0.967,0.674,17.473,63.451,13.25,55.85,22.375,72.275,0.093,271.7,9.275,1,4,0.527,1
0.062,-0.132,0.967,0.672,17.165,62.58,13.25,55.85,22.375,72.275,0.089,265.2,8.923,1,4,0.545,1
0.066,-0.132,0.963,0.676,17.516,63.451,13.25,55.85,22.375,72.275,0.089,263.9,8.835,1,4,0.563,1
0.062,-0.136,0.963,0.675,17.429,63.371,13.25,55.85,22.375,72.275,0.091,271.7,8.967,1,4,0.527,1
0.062,-0.136,0.963,0.675,17.473,63.451,13.25,55.85,22.375,72.275,0.091,269.1,8.923,1,4,0.527,1
0.062,-0.136,0.963,0.675,17.473,63.451,13.25,55.85,22.375,72.275,0.091,269.1,8.923,1,4,0.527,1
0.066,-0.136,0.959,0.676,17.516,63.609,13.25,55.85,22.375,72.275,0.093,273,9.011,1,4,0.563,1
0.066,-0.136,0.959,0.676,17.516,63.609,13.25,55.85,22.375,72.275,0.093,273,9.011,1,4,0.563,1
