tmp local (C), tmp object (C), sound voltage (V), current (A),
9.00,10.00,5.04,8.67,-540994148
9.00,10.00,5.04,-1.06,1323483376
9.00,10.00,5.04,-3.69,-49478112
9.00,10.00,5.04,8.05,1417908248
9.00,10.00,5.04,-0.54,-1008759060
9.00,10.00,5.03,-4.80,32061844
9.00,10.00,5.03,7.12,-2123507092
9.00,10.00,5.03,2.06,225528688
9.00,10.00,5.03,-4.94,-490614176
9.00,10.00,5.03,4.21,-246853324
9.00,10.00,5.03,3.09,-176007828
9.00,10.00,5.03,-6.30,-1326447040
9.00,10.00,5.04,5.96,2103664180
9.00,10.00,5.04,5.00,-1544438120
9.00,10.00,5.03,-9.23,464876468
9.00,10.00,5.04,-6.18,-867776740
9.00,10.00,5.04,4.28,41124236
9.00,10.00,5.04,7.93,959237948
9.00,10.00,5.04,1.07,765738884
9.00,10.00,5.03,-8.80,2086248068
9.00,10.00,5.03,7.31,-1398151492
9.00,10.00,5.03,-4.11,-1628168472
9.00,10.00,5.03,-0.93,1814172616
9.00,10.00,5.03,10.37,1585519296
9.00,10.00,5.03,-5.13,-1205307476
9.00,10.00,5.04,2.23,854891668
9.00,10.00,5.04,3.61,1786717032
9.00,10.00,5.04,-1.15,971500036
9.00,10.00,5.04,4.69,1566503336
9.00,10.00,5.04,-0.68,-1531435080
9.00,10.00,5.04,10.71,-1429429600
9.00,10.00,5.tmp local (C), tmp object (C), sound voltage (V), current (A),
9.00,10.00,4.95,0.75,-450273676
9.00,10.00,5.03,0.91,157732664
9.00,10.00,5.03,0.87,19058864
9.00,10.00,5.03,0.90,125745884
9.00,10.00,5.04,0.99,467066924
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.04,0.99,477729164
9.00,10.00,5.03,0.99,467066924
9.00,10.00,5.04,0.91,168394904
9.00,10.00,5.03,0.80,-236931916
9.00,10.00,5.03,0.91,179057144
