tmp local (C), tmp object (C), sound voltage (V), current (A),
10.00,12.00,4.81,-26.82,-1194838484
10.00,12.00,4.82,-27.20,198738812
10.00,12.00,4.81,-26.53,1002552676
10.00,12.00,4.81,-26.29,-1479025740
10.00,12.00,4.81,-26.90,-1813507064
10.00,12.00,4.81,-26.29,-1500350280
10.00,12.00,4.81,-27.13,774758372
10.00,12.00,4.81,-26.57,682556116
10.00,12.00,4.81,-26.07,163670400
10.00,12.00,4.81,-26.74,-576137744
10.00,12.00,4.81,-26.44,1642577956
10.00,12.00,4.81,-26.35,-1927033800
10.00,12.00,4.81,-27.01,1649449892
10.00,12.00,4.81,-26.69,-192135404
10.00,12.00,4.80,-26.57,661231636
10.00,12.00,4.82,-27.02,1585444172
10.00,12.00,4.81,-27.17,454761812
10.00,12.00,4.81,-27.22,92084012
10.00,12.00,4.81,-26.97,1990770932
10.00,12.00,4.81,-27.09,1030749152
10.00,12.00,4.82,-26.73,-554813204
10.00,12.00,4.81,-26.93,-2026848824
10.00,12.00,4.81,-27.11,881413112
10.00,12.00,4.81,-26.32,-1735048740
10.00,12.00,4.81,-26.54,917222416
10.00,12.00,4.80,-28.67,2011386800
10.00,12.00,4.81,-26.81,-1088151524
10.00,12.00,4.81,-26.82,-1216163024
10.00,12.00,4.81,-26.44,1642577956
10.00,12.00,4.81,-26.67,-64123904
10.00,12.00,4.81,-27.08,1116111632
10.00,12.00,4.81,-27.32,-675952768
10.00,12.00,4.81,-27.00,1713455672
10.00,12.00,4.81,-26.99,1820110412
10.00,12.00,4.81,-27.00,1734780152
10.00,12.00,4.82,-27.15,582741092
10.00,12.00,4.81,-26.49,1258575676
10.00,12.00,4.81,-26.83,-1280168744
10.00,12.00,4.81,-26.26,-1244359500
10.00,12.00,4.80,-25.41,882154004
10.00,12.00,4.81,-26.52,1045233916
10.00,12.00,4.81,-26.35,-1927033800
10.00,12.00,4.81,-26.18,-625658700
10.00,12.00,4.81,-26.65,85212076
10.00,12.00,4.81,-26.71,-362795984
10.00,12.00,4.81,-26.59,575901376
10.00,12.00,4.82,-27.18,390756032
10.00,12.00,4.82,-27.37,-1102636288
10.00,12.00,4.82,-27.37,-1102636288
10.00,12.00,4.82,-27.13,753433832
10.00,12.00,4.81,-26.29,-1457701260
10.00,12.00,4.82,-26.75,-661468004
10.00,12.00,4.81,-26.88,-1621489784
10.00,12.00,4.81,-26.68,-128129684
10.00,12.00,4.81,-26.20,-796351440
10.00,12.00,4.81,-26.78,-896134244
10.00,12.00,4.81,-26.42,1791913996
10.00,12.00,4.81,-26.42,1813238476
10.00,12.00,4.80,-26.68,-170810924
10.00,12.00,4.81,-26.60,490538896
10.00,12.00,4.81,-26.28,-1393695480
10.00,12.00,4.81,-27.29,-462611008
10.00,12.00,4.82,-27.29,-483935488
10.00,12.00,4.81,-26.67,-42799424
10.00,12.00,4.82,-27.30,-526616728
10.00,12.00,4.82,-29.30,1484888256
10.00,12.00,4.81,-25.92,1294384980
10.00,12.00,4.82,-27.02,1606768652
10.00,12.00,4.81,-26.39,2069261476
10.00,12.00,4.81,-26.11,-113677140
10.00,12.00,4.81,-26.95,2140106972
10.00,12.00,4.81,-26.53,1023909376
10.00,12.00,4.81,-26.55,810567616
10.00,12.00,4.81,-26.54,938546896
10.00,12.00,4.80,-26.38,2133267256
10.00,12.00,4.81,-27.28,-355923988
10.00,12.00,4.81,-27.00,1734780152
10.00,12.00,4.81,-27.17,433405052
10.00,12.00,4.81,-26.73,-533488724
10.00,12.00,4.81,-27.07,1201441892
10.00,12.00,4.81,-27.00,1756104692
10.00,12.00,4.81,-26.91,-1877512844
10.00,12.00,4.81,-26.66,-21474884
10.00,12.00,4.81,-26.24,-1095023460
10.00,12.00,4.81,-26.46,1535923156
10.00,12.00,4.81,-26.51,1173245416
10.00,12.00,4.81,-26.71,-384152684
10.00,12.00,4.81,-25.62,-696536416
10.00,12.00,4.81,-26.36,-2033720760
10.00,12.00,4.81,-26.70,-298790204
10.00,12.00,4.81,-27.12,838764092
10.00,12.00,4.81,-27.24,-99933208
10.00,12.00,4.81,-27.12,796082852
10.00,12.00,4.81,-26.82,-1216163024
10.00,12.00,4.81,-26.93,-2069497844
10.00,12.00,4.81,-26.56,746561896
10.00,12.00,4.81,-27.05,1329421172
10.00,12.00,4.81,-26.59,533220136
10.00,12.00,4.81,-26.22,-924362940
10.00,12.00,4.81,-26.55,853216636
10.00,12.00,4.81,-26.31,-1649686260
10.00,12.00,4.81,-26.56,746561896
10.00,12.00,4.81,-26.93,-2005524344
10.00,12.00,4.81,-26.26,-1265683980
10.00,12.00,4.81,-28.82,880672220
10.00,12.00,4.81,-27.62,1357649808
10.00,12.00,4.81,-27.22,92084012
10.00,12.00,4.81,-27.15,582741092
10.00,12.00,4.82,-27.39,-1209291088
10.00,12.00,4.82,-27.15,604097792
10.00,12.00,4.82,-26.36,-1991039520
10.00,12.00,4.81,-26.85,-1429504784
10.00,12.00,4.81,-26.54,938546896
10.00,12.00,4.81,-26.01,611678400
10.00,12.00,4.81,-26.70,-277465724
10.00,12.00,4.81,-26.32,-1692367500
10.00,12.00,4.81,-26.23,-1052342220
10.00,12.00,4.81,-26.73,-533488724
10.00,12.00,4.81,-26.83,-1280168744
10.00,12.00,4.81,-26.12,-199007400
10.00,12.00,4.81,-27.30,-569265808
10.00,12.00,4.81,-27.31,-611947048
10.00,12.00,4.81,-26.57,703880656
10.00,12.00,4.81,-27.22,70727312
10.00,12.00,4.81,-27.08,1094754872
10.00,12.00,4.81,-26.46,1493241916
10.00,12.00,4.81,-27.42,-1422632848
10.00,12.00,4.81,-25.31,1650190784
10.00,12.00,4.81,-26.08,121021380
